
Statistical table extracted on May 01, 2025 (07:46:53)
http://www.ine.pt



Data reference period (1) ;Place of residence (NUTS - 2024);Sex;Age group;Deaths (No.) by Place of residence (NUTS - 2024), Sex, Age group and Day of death -  Annual;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Day of death;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Total;January;1 January;2 January;3 January;4 January;5 January;6 January;7 January;8 January;9 January;10 January;11 January;12 January;13 January;14 January;15 January;16 January;17 January;18 January;19 January;20 January;21 January;22 January;23 January;24 January;25 January;26 January;27 January;28 January;29 January;30 January;31 January;February;1 February;2 February;3 February;4 February;5 February;6 February;7 February;8 February;9 February;10 February;11 February;12 February;13 February;14 February;15 February;16 February;17 February;18 February;19 February;20 February;21 February;22 February;23 February;24 February;25 February;26 February;27 February;28 February;29 February;March;1 March;2 March;3 March;4 March;5 March;6 March;7 March;8 March;9 March;10 March;11 March;12 March;13 March;14 March;15 March;16 March;17 March;18 March;19 March;20 March;21 March;22 March;23 March;24 March;25 March;26 March;27 March;28 March;29 March;30 March;31 March;April;1 April;2 April;3 April;4 April;5 April;6 April;7 April;8 April;9 April;10 April;11 April;12 April;13 April;14 April;15 April;16 April;17 April;18 April;19 April;20 April;21 April;22 April;23 April;24 April;25 April;26 April;27 April;28 April;29 April;30 April;May;1 May;2 May;3 May;4 May;5 May;6 May;7 May;8 May;9 May;10 May;11 May;12 May;13 May;14 May;15 May;16 May;17 May;18 May;19 May;20 May;21 May;22 May;23 May;24 May;25 May;26 May;27 May;28 May;29 May;30 May;31 May;June;1 June;2 June;3 June;4 June;5 June;6 June;7 June;8 June;9 June;10 June;11 June;12 June;13 June;14 June;15 June;16 June;17 June;18 June;19 June;20 June;21 June;22 June;23 June;24 June;25 June;26 June;27 June;28 June;29 June;30 June;July;1 July;2 July;3 July;4 July;5 July;6 July;7 July;8 July;9 July;10 July;11 July;12 July;13 July;14 July;15 July;16 July;17 July;18 July;19 July;20 July;21 July;22 July;23 July;24 July;25 July;26 July;27 July;28 July;29 July;30 July;31 July;August;1 August;2 August;3 August;4 August;5 August;6 August;7 August;8 August;9 August;10 August;11 August;12 August;13 August;14 August;15 August;16 August;17 August;18 August;19 August;20 August;21 August;22 August;23 August;24 August;25 August;26 August;27 August;28 August;29 August;30 August;31 August;September;1 September;2 September;3 September;4 September;5 September;6 September;7 September;8 September;9 September;10 September;11 September;12 September;13 September;14 September;15 September;16 September;17 September;18 September;19 September;20 September;21 September;22 September;23 September;24 September;25 September;26 September;27 September;28 September;29 September;30 September;October;1 October;2 October;3 October;4 October;5 October;6 October;7 October;8 October;9 October;10 October;11 October;12 October;13 October;14 October;15 October;16 October;17 October;18 October;19 October;20 October;21 October;22 October;23 October;24 October;25 October;26 October;27 October;28 October;29 October;30 October;31 October;November;1 November;2 November;3 November;4 November;5 November;6 November;7 November;8 November;9 November;10 November;11 November;12 November;13 November;14 November;15 November;16 November;17 November;18 November;19 November;20 November;21 November;22 November;23 November;24 November;25 November;26 November;27 November;28 November;29 November;30 November;December;1 December;2 December;3 December;4 December;5 December;6 December;7 December;8 December;9 December;10 December;11 December;12 December;13 December;14 December;15 December;16 December;17 December;18 December;19 December;20 December;21 December;22 December;23 December;24 December;25 December;26 December;27 December;28 December;29 December;30 December;31 December;
;;;;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;
2021;11: Norte;M;0-64 years;3864;447;13;19;19;19;15;13;18;17;11;16;17;14;17;16;20;16;12;13;21;26;22;14;4;10;11;9;9;12;9;8;7;305;15;12;12;10;9;7;11;13;6;12;15;6;5;11;11;22;15;7;6;9;11;11;12;7;13;9;12;16;0;306;8;10;7;6;15;13;9;10;8;13;13;5;10;6;4;17;7;15;9;9;6;10;9;10;7;5;14;13;8;10;20;239;9;5;10;5;11;11;8;9;12;9;9;8;12;10;8;5;6;5;9;6;4;11;10;5;9;5;6;7;4;11;310;8;13;10;11;14;3;11;16;11;5;8;13;7;8;6;7;5;9;6;11;13;9;6;11;12;16;5;15;11;18;12;308;13;7;11;10;4;10;6;8;17;17;7;7;10;10;10;18;14;8;7;6;8;12;14;10;4;9;13;12;8;18;323;6;13;13;7;10;8;9;9;6;8;6;5;16;10;14;11;12;6;7;14;9;15;10;10;13;11;13;12;9;13;18;320;8;14;14;4;9;13;7;13;6;11;11;14;19;7;15;13;8;8;15;6;12;12;9;11;13;9;9;5;4;13;8;297;9;7;8;9;12;16;10;11;15;13;8;7;5;7;7;12;12;10;8;13;10;15;5;15;5;10;11;9;7;11;325;12;7;9;8;10;10;12;18;10;8;6;7;12;17;8;10;10;8;9;9;10;10;15;13;11;12;8;16;7;9;14;327;5;11;7;9;8;10;9;10;10;15;7;14;14;12;9;11;7;11;10;7;10;12;11;6;19;9;15;13;16;20;357;14;11;11;9;9;14;8;3;12;9;6;16;10;14;11;10;15;12;11;12;10;9;18;10;6;8;16;18;16;15;14;
;;;65-69 years;1681;216;7;4;5;8;8;9;10;12;4;6;8;4;10;5;5;7;6;6;6;8;2;4;7;15;9;8;5;9;7;6;6;135;2;4;7;5;6;4;3;3;10;7;8;3;9;3;5;3;4;5;6;1;5;0;5;5;7;4;4;7;0;161;5;6;7;6;2;6;8;9;6;4;5;7;2;5;7;7;6;4;4;3;4;3;9;5;2;4;5;4;6;5;5;119;2;2;1;3;5;7;7;5;4;3;3;9;0;4;4;5;1;5;6;2;1;6;2;5;4;7;4;6;4;2;116;5;3;6;6;5;3;4;4;1;2;0;2;5;3;3;3;2;2;5;6;4;4;3;4;5;3;4;6;6;3;4;123;6;4;5;3;4;2;2;6;5;4;8;3;4;4;2;3;6;4;3;5;2;7;4;5;2;3;2;4;5;6;125;5;6;3;2;4;4;3;6;6;0;4;5;0;4;1;2;3;2;2;5;5;3;5;5;9;6;3;6;6;7;3;125;4;7;4;6;3;3;2;8;3;5;3;2;4;5;1;3;1;3;3;5;5;8;6;6;4;2;3;3;0;7;6;129;4;2;2;7;4;8;6;4;4;2;4;3;7;3;6;3;2;5;6;3;6;2;7;4;2;4;3;8;4;4;135;5;5;5;1;4;9;7;3;6;2;3;5;5;7;7;5;3;4;3;4;3;6;1;3;6;3;4;3;4;1;8;147;9;1;1;8;9;9;3;4;2;8;5;6;9;4;5;7;5;5;3;3;1;3;5;3;5;6;4;4;6;4;150;2;6;4;3;2;3;5;7;5;7;1;8;6;7;1;8;3;7;7;2;8;7;2;7;5;7;3;2;6;7;2;
;;;70-74 years;1991;274;8;4;1;8;10;8;3;9;10;15;13;4;7;11;9;7;8;12;9;9;7;12;6;11;10;17;9;8;9;9;11;168;6;8;6;8;10;8;3;4;5;9;5;9;9;6;4;5;7;3;8;6;8;3;5;6;6;3;5;3;0;144;4;8;4;8;6;2;4;4;4;6;9;3;2;3;5;2;3;4;8;5;5;5;8;4;3;5;1;3;4;6;6;153;5;4;4;4;9;3;3;6;6;8;9;7;3;6;4;3;4;5;2;4;1;5;4;4;6;10;5;8;6;5;150;5;4;4;6;9;6;5;4;4;7;2;3;4;10;7;2;4;2;2;2;8;4;6;2;6;6;5;6;5;5;5;138;6;4;6;6;3;5;2;5;6;3;3;4;3;10;5;6;3;2;5;5;6;2;4;6;5;9;1;3;5;5;144;8;5;6;3;3;3;2;7;5;9;7;4;5;2;2;5;4;5;3;10;2;7;4;4;6;5;1;4;4;8;1;187;1;2;7;6;8;8;5;9;6;5;5;4;10;12;3;3;8;5;4;5;8;3;9;6;6;6;10;5;3;7;8;122;3;3;6;3;4;2;5;4;1;6;1;5;5;3;5;4;4;2;4;4;5;5;5;7;5;5;6;7;2;1;163;5;10;4;5;6;5;4;9;5;2;7;8;4;3;9;8;6;8;4;2;5;6;4;3;4;5;5;4;1;7;5;148;3;4;2;4;4;0;2;6;4;6;5;6;5;9;6;1;3;6;5;4;5;7;5;5;4;6;7;6;8;10;200;5;8;3;12;7;11;8;5;7;13;4;4;5;6;8;5;4;3;6;6;5;7;5;5;9;2;5;8;6;11;7;
;;;75-79 years;2370;362;6;6;10;10;14;20;11;15;4;9;7;14;11;4;12;23;9;6;13;11;16;15;17;19;9;11;12;11;7;10;20;214;12;10;7;8;19;10;8;9;11;5;7;7;4;9;12;5;11;6;4;8;5;1;6;6;6;10;2;6;0;179;11;3;7;9;1;7;3;1;8;4;3;10;9;5;5;5;8;6;1;7;5;7;7;4;4;8;5;6;8;4;8;174;10;5;4;11;6;5;7;6;3;3;4;9;12;4;6;6;6;2;5;8;5;7;10;4;5;3;5;3;7;3;153;8;1;4;9;8;7;4;3;7;1;1;4;7;9;4;11;4;4;3;4;3;2;4;6;4;3;5;4;7;5;7;154;7;9;8;4;6;5;6;6;6;5;4;8;6;6;6;8;5;1;6;2;3;5;5;4;4;5;3;3;4;4;196;5;4;4;8;7;10;5;4;6;7;4;6;10;10;1;5;7;5;13;4;7;6;7;9;9;4;4;7;7;6;5;177;2;8;6;5;2;7;3;2;5;6;7;5;6;9;1;3;11;7;3;5;3;5;7;12;6;4;7;7;6;9;8;185;6;6;6;6;11;7;6;8;10;5;7;8;2;5;3;5;5;6;7;8;4;7;3;7;6;8;4;5;6;8;155;7;6;1;4;6;1;6;4;5;4;1;3;7;6;3;2;2;9;4;7;7;5;7;9;6;6;5;5;6;5;6;178;7;8;5;7;3;2;9;10;3;5;5;7;6;6;11;5;5;9;3;6;5;9;4;3;4;3;4;12;4;8;243;9;6;11;7;9;3;6;8;5;8;12;5;3;10;8;8;8;8;8;13;8;9;6;8;7;8;7;10;11;5;9;
;;;80-84 years;2918;428;9;15;7;9;13;11;11;12;9;7;16;20;10;18;9;15;15;16;21;17;14;12;17;14;14;15;11;24;16;14;17;289;16;19;9;5;11;10;4;14;12;12;11;13;7;12;11;10;12;9;11;9;7;8;9;8;10;6;14;10;0;223;4;7;11;10;8;7;7;8;8;9;8;9;6;3;4;4;5;5;6;9;8;6;9;7;5;7;13;9;6;9;6;199;11;4;6;2;2;9;9;6;6;5;9;6;8;11;3;6;5;9;7;10;5;4;5;6;6;5;10;6;7;11;209;11;7;6;7;6;8;9;3;6;5;4;9;4;3;6;8;6;7;6;4;13;5;7;15;10;4;5;6;7;8;4;191;5;10;11;4;8;8;6;11;12;6;3;5;6;7;6;6;5;2;8;4;7;5;6;7;2;5;5;8;6;7;187;8;8;5;6;4;6;8;9;4;8;9;7;4;3;6;3;12;5;7;3;9;5;4;7;6;6;3;6;5;7;4;224;6;8;6;5;10;12;9;9;9;9;3;5;13;7;6;8;10;5;7;3;6;3;8;7;8;8;12;4;9;3;6;223;4;6;9;5;8;4;10;4;8;8;7;9;7;7;11;5;3;8;6;8;8;12;9;9;9;7;4;10;9;9;244;7;10;6;5;12;5;7;13;8;6;12;9;7;9;7;7;7;7;7;5;7;8;8;9;6;7;7;11;6;10;9;235;7;7;11;8;9;10;6;11;8;7;7;5;12;7;10;5;4;5;14;5;6;11;3;6;10;10;7;9;9;6;266;9;9;6;11;5;9;15;10;7;8;16;6;8;8;7;9;11;9;5;9;7;7;7;10;11;6;5;14;8;6;8;
;;;85 or more years;5916;1022;25;16;30;28;31;25;34;32;34;40;34;38;37;40;35;45;34;36;35;36;35;31;39;32;33;43;34;32;27;24;27;614;32;33;33;20;22;26;32;21;21;23;33;19;17;22;30;22;21;14;21;20;19;16;17;16;18;16;11;19;0;455;14;20;18;13;21;19;17;14;22;6;12;13;9;15;13;14;12;14;13;14;18;23;12;12;13;15;15;20;9;14;11;374;16;12;18;8;11;11;11;13;15;14;13;9;13;15;12;14;15;12;14;14;15;16;13;12;9;11;13;11;9;5;385;16;7;11;8;13;13;7;16;9;10;12;11;15;15;21;10;17;8;15;16;10;10;11;12;10;16;17;11;16;7;15;352;8;9;11;8;11;10;9;8;22;17;12;9;11;14;17;10;12;15;11;8;14;16;8;16;14;9;15;13;6;9;377;8;15;7;18;12;7;11;10;20;14;6;15;7;19;17;16;24;14;11;12;6;13;7;8;10;12;17;12;8;12;9;390;22;7;21;15;14;8;14;16;8;10;13;10;11;8;8;11;8;23;12;6;14;14;14;13;16;11;12;9;14;14;14;388;12;17;11;14;12;13;18;12;14;11;12;11;14;14;13;12;5;13;11;11;10;12;12;18;14;12;13;14;19;14;470;15;23;12;17;7;16;22;11;14;12;13;11;19;18;21;14;14;12;20;10;17;21;17;10;14;16;6;20;15;14;19;512;20;12;21;13;14;18;12;12;20;15;18;21;12;17;18;23;20;22;16;12;15;15;17;24;12;17;18;16;19;23;577;18;21;14;18;22;23;17;26;15;20;15;14;20;21;25;12;19;17;18;23;22;16;18;20;21;25;20;16;15;14;12;
;;F;0-64 years;1650;208;8;6;6;7;6;8;5;8;4;6;9;6;12;9;8;3;7;8;8;3;4;3;8;6;5;12;10;10;4;4;5;134;4;8;7;3;5;7;2;5;3;3;3;4;5;4;5;3;7;7;4;4;8;3;3;1;6;6;10;4;0;133;3;6;3;9;8;3;2;8;4;1;4;3;7;4;9;7;3;5;5;2;0;3;6;4;5;3;0;5;3;4;4;127;5;6;5;2;6;3;5;7;0;4;3;4;4;4;4;5;4;2;3;4;5;4;2;3;3;5;5;6;6;8;121;0;4;1;4;3;2;5;1;5;6;4;10;4;3;2;9;3;4;3;3;3;5;7;3;7;4;3;6;1;3;3;128;6;0;4;2;4;6;5;5;6;4;4;1;3;5;3;3;6;2;2;3;5;3;3;4;7;6;6;6;9;5;122;4;2;2;4;6;7;2;2;2;1;4;6;4;3;2;7;3;6;2;2;6;7;3;5;4;4;8;4;7;0;3;127;4;1;3;5;1;6;1;5;9;2;7;8;3;2;6;4;4;5;4;2;3;1;4;4;6;4;5;7;2;4;5;115;4;2;5;6;3;5;3;2;0;4;3;2;4;6;4;3;5;7;1;3;3;5;3;9;2;2;7;1;5;6;116;7;3;6;4;1;4;2;2;3;8;3;5;6;2;5;6;2;2;5;7;2;1;3;8;3;2;4;2;5;1;2;164;3;6;6;3;3;3;7;4;8;6;4;7;6;6;8;5;4;9;10;6;7;6;4;5;5;5;4;3;6;5;155;5;3;3;9;6;4;6;5;4;1;3;7;2;7;7;4;5;4;3;3;7;6;6;4;2;6;5;7;12;6;3;
