
Statistical table extracted on May 01, 2025 (07:46:11)
http://www.ine.pt



Data reference period (1) ;Place of residence (NUTS - 2024);Sex;Age group;Deaths (No.) by Place of residence (NUTS - 2024), Sex, Age group and Day of death -  Annual;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Day of death;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Total;January;1 January;2 January;3 January;4 January;5 January;6 January;7 January;8 January;9 January;10 January;11 January;12 January;13 January;14 January;15 January;16 January;17 January;18 January;19 January;20 January;21 January;22 January;23 January;24 January;25 January;26 January;27 January;28 January;29 January;30 January;31 January;February;1 February;2 February;3 February;4 February;5 February;6 February;7 February;8 February;9 February;10 February;11 February;12 February;13 February;14 February;15 February;16 February;17 February;18 February;19 February;20 February;21 February;22 February;23 February;24 February;25 February;26 February;27 February;28 February;29 February;March;1 March;2 March;3 March;4 March;5 March;6 March;7 March;8 March;9 March;10 March;11 March;12 March;13 March;14 March;15 March;16 March;17 March;18 March;19 March;20 March;21 March;22 March;23 March;24 March;25 March;26 March;27 March;28 March;29 March;30 March;31 March;April;1 April;2 April;3 April;4 April;5 April;6 April;7 April;8 April;9 April;10 April;11 April;12 April;13 April;14 April;15 April;16 April;17 April;18 April;19 April;20 April;21 April;22 April;23 April;24 April;25 April;26 April;27 April;28 April;29 April;30 April;May;1 May;2 May;3 May;4 May;5 May;6 May;7 May;8 May;9 May;10 May;11 May;12 May;13 May;14 May;15 May;16 May;17 May;18 May;19 May;20 May;21 May;22 May;23 May;24 May;25 May;26 May;27 May;28 May;29 May;30 May;31 May;June;1 June;2 June;3 June;4 June;5 June;6 June;7 June;8 June;9 June;10 June;11 June;12 June;13 June;14 June;15 June;16 June;17 June;18 June;19 June;20 June;21 June;22 June;23 June;24 June;25 June;26 June;27 June;28 June;29 June;30 June;July;1 July;2 July;3 July;4 July;5 July;6 July;7 July;8 July;9 July;10 July;11 July;12 July;13 July;14 July;15 July;16 July;17 July;18 July;19 July;20 July;21 July;22 July;23 July;24 July;25 July;26 July;27 July;28 July;29 July;30 July;31 July;August;1 August;2 August;3 August;4 August;5 August;6 August;7 August;8 August;9 August;10 August;11 August;12 August;13 August;14 August;15 August;16 August;17 August;18 August;19 August;20 August;21 August;22 August;23 August;24 August;25 August;26 August;27 August;28 August;29 August;30 August;31 August;September;1 September;2 September;3 September;4 September;5 September;6 September;7 September;8 September;9 September;10 September;11 September;12 September;13 September;14 September;15 September;16 September;17 September;18 September;19 September;20 September;21 September;22 September;23 September;24 September;25 September;26 September;27 September;28 September;29 September;30 September;October;1 October;2 October;3 October;4 October;5 October;6 October;7 October;8 October;9 October;10 October;11 October;12 October;13 October;14 October;15 October;16 October;17 October;18 October;19 October;20 October;21 October;22 October;23 October;24 October;25 October;26 October;27 October;28 October;29 October;30 October;31 October;November;1 November;2 November;3 November;4 November;5 November;6 November;7 November;8 November;9 November;10 November;11 November;12 November;13 November;14 November;15 November;16 November;17 November;18 November;19 November;20 November;21 November;22 November;23 November;24 November;25 November;26 November;27 November;28 November;29 November;30 November;December;1 December;2 December;3 December;4 December;5 December;6 December;7 December;8 December;9 December;10 December;11 December;12 December;13 December;14 December;15 December;16 December;17 December;18 December;19 December;20 December;21 December;22 December;23 December;24 December;25 December;26 December;27 December;28 December;29 December;30 December;31 December;
;;;;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;
2022;11: Norte;M;0-64 years;3715;320;11;8;9;7;3;10;13;12;9;10;9;15;11;9;7;11;13;12;10;10;9;12;12;7;10;11;9;13;9;14;15;289;12;14;12;9;11;12;14;8;9;11;7;6;9;9;15;6;10;15;9;8;5;10;17;12;9;8;9;13;0;290;10;12;16;10;7;6;11;15;8;9;14;10;6;9;6;12;12;10;7;8;7;7;15;8;10;9;3;4;9;8;12;274;10;9;10;2;8;9;14;9;8;12;8;1;10;15;10;7;8;10;7;8;10;12;8;12;4;11;9;10;8;15;327;6;7;9;16;11;7;10;11;11;7;19;9;12;18;13;6;8;10;15;8;11;11;10;10;13;10;8;9;9;13;10;286;10;10;9;13;10;7;15;8;11;15;11;12;7;8;11;7;13;7;5;5;9;11;3;13;8;10;8;12;12;6;335;10;8;8;12;11;11;10;16;9;8;11;6;15;11;21;11;14;9;11;10;12;9;14;11;7;8;4;13;10;10;15;331;16;9;11;7;7;14;7;7;10;20;13;14;9;10;13;8;10;11;10;8;10;15;9;8;10;13;11;6;12;8;15;289;11;6;9;9;11;8;4;16;9;6;8;11;11;11;10;8;6;10;9;9;12;11;9;7;8;12;11;9;16;12;322;7;10;8;9;6;7;3;8;13;13;11;8;9;12;5;10;12;15;15;10;13;15;6;13;12;9;13;12;13;16;9;314;15;10;3;11;9;10;8;16;6;14;14;10;13;8;11;12;13;14;8;6;11;10;10;11;8;7;9;10;9;18;338;12;14;12;10;9;8;14;16;4;12;9;8;16;13;14;13;6;18;11;8;14;17;9;5;9;5;10;10;10;5;17;
;;;65-69 years;1684;164;1;7;4;5;10;7;2;4;4;5;5;4;5;3;5;6;3;6;8;3;5;10;3;11;4;8;5;7;5;4;5;124;5;3;7;6;5;7;6;2;6;3;7;1;4;5;6;3;6;4;5;8;0;4;2;3;4;7;4;1;0;159;3;2;4;8;6;10;8;3;3;6;4;6;6;7;5;5;1;4;5;4;5;3;7;6;4;5;4;6;7;4;8;145;8;2;6;3;6;9;4;5;3;9;3;8;3;3;2;5;5;8;3;4;2;5;3;5;4;6;5;6;6;4;144;6;1;6;5;4;2;5;2;3;5;3;6;3;4;5;4;5;11;7;1;3;5;2;4;2;5;11;4;5;8;7;150;4;2;3;6;5;6;8;4;4;9;4;3;7;5;11;5;3;6;4;4;7;8;4;5;4;2;4;3;5;5;122;1;1;2;4;3;1;2;2;3;2;0;6;5;10;6;7;6;6;4;5;4;1;4;3;4;10;3;5;1;8;3;130;4;5;3;5;4;1;2;4;2;1;3;9;6;3;2;4;3;5;1;5;0;6;5;6;5;3;9;5;4;7;8;118;3;6;2;4;3;5;4;6;8;5;4;3;4;5;1;7;3;4;6;3;4;1;3;4;0;5;5;4;4;2;134;4;1;3;4;7;6;1;3;6;4;2;4;6;3;5;3;3;7;7;3;4;10;4;4;3;3;2;4;4;7;7;145;8;3;6;6;4;4;8;6;2;8;4;4;9;1;6;6;3;8;4;3;3;5;3;2;4;5;4;6;5;5;149;4;7;3;4;3;5;6;6;2;3;3;6;9;4;4;5;5;4;2;6;6;5;6;4;4;5;6;1;6;10;5;
;;;70-74 years;2126;215;10;4;8;5;8;8;5;7;6;10;4;7;10;2;4;6;8;9;2;7;3;8;4;12;9;8;10;7;8;5;11;199;9;6;9;12;9;6;11;2;6;8;10;3;5;5;6;10;8;7;6;5;13;5;2;10;7;9;8;2;0;167;6;6;7;5;7;5;4;5;4;3;8;9;5;3;5;9;5;1;7;5;8;6;3;5;3;4;13;7;5;3;1;154;7;9;6;4;1;5;6;7;2;5;5;5;2;8;5;7;3;4;5;3;1;1;8;4;3;6;0;10;11;11;181;5;4;0;4;5;9;9;6;9;5;4;6;2;6;3;5;4;5;8;4;6;3;12;5;4;6;7;8;5;9;13;166;3;8;4;4;7;6;6;7;5;3;6;9;6;4;10;4;8;5;3;5;9;2;2;8;6;3;4;7;7;5;176;0;3;5;6;3;7;7;6;5;3;8;8;4;10;7;5;7;7;11;2;11;4;4;2;3;6;4;1;11;8;8;157;5;4;1;6;4;5;7;6;4;3;2;5;8;3;3;4;5;7;5;9;7;6;7;1;4;9;3;2;9;4;9;164;5;9;1;6;5;8;4;8;5;6;6;4;7;6;7;10;4;3;7;7;9;3;3;8;3;0;2;4;5;9;161;4;5;7;6;2;3;2;7;5;6;4;4;9;4;5;6;8;6;5;5;3;3;5;3;3;7;4;10;8;5;7;176;2;2;8;6;7;6;7;6;3;10;9;5;1;5;5;5;4;6;2;3;8;10;10;6;8;6;8;7;5;6;210;5;5;2;7;4;9;8;4;5;10;4;6;4;6;11;9;11;10;12;9;5;11;5;4;6;9;8;3;4;6;8;
;;;75-79 years;2506;238;10;4;9;9;12;6;9;5;7;9;3;6;6;5;9;7;7;8;7;10;7;7;12;8;6;11;5;7;8;10;9;235;7;9;8;13;7;3;9;11;6;8;11;8;5;9;9;8;7;9;10;9;8;10;10;9;9;4;11;8;0;204;8;5;12;8;4;3;6;2;6;2;11;5;9;3;4;5;8;4;10;3;11;8;8;5;15;4;6;5;10;7;7;164;6;1;4;4;10;4;5;9;4;8;4;4;7;8;3;4;6;6;12;5;3;6;6;4;5;6;2;8;5;5;197;6;2;5;6;6;10;8;6;8;8;5;7;6;9;10;13;5;9;5;7;10;6;3;1;5;8;8;1;4;4;6;195;4;9;8;9;6;6;5;7;8;12;8;7;7;6;7;7;4;2;7;2;7;5;7;9;3;5;4;11;6;7;226;4;9;8;3;4;11;4;7;6;10;8;10;9;6;11;6;6;8;6;6;10;8;11;7;5;12;5;5;3;9;9;197;8;6;6;7;11;6;7;3;8;11;9;10;5;7;6;5;7;4;5;8;8;1;8;10;5;6;4;4;3;4;5;180;6;12;4;6;7;6;10;6;7;7;6;5;5;5;8;4;7;3;5;3;7;9;4;2;5;4;5;8;3;11;186;4;5;8;4;4;7;8;4;4;3;8;7;6;8;3;3;9;9;7;7;6;5;2;13;5;6;7;5;6;9;4;214;5;4;5;6;8;7;13;5;6;6;6;4;4;7;13;8;10;9;8;6;5;5;5;10;8;5;6;9;8;13;270;6;10;15;7;13;8;6;9;7;8;10;12;6;10;4;8;8;6;8;10;7;11;12;9;6;10;14;5;7;8;10;
;;;80-84 years;3047;261;8;9;7;7;8;6;9;4;7;4;5;8;10;6;6;10;8;8;7;8;13;11;9;10;17;8;11;6;6;19;6;284;10;14;14;7;10;7;16;10;13;9;9;16;11;3;12;9;12;8;12;7;7;7;5;10;10;14;11;11;0;257;6;11;11;5;6;8;8;9;5;12;10;9;11;9;10;6;5;10;7;5;11;8;8;7;10;6;7;7;12;9;9;236;10;9;3;10;10;11;9;8;14;13;9;4;6;9;6;6;10;6;6;6;8;8;2;9;6;8;7;6;8;9;263;2;7;12;11;10;4;10;5;8;12;11;7;9;4;10;7;15;6;8;11;10;10;12;10;8;4;9;10;7;5;9;261;3;9;15;10;9;8;9;11;8;11;15;4;12;7;8;9;11;8;7;4;10;10;9;11;8;12;3;6;10;4;258;8;8;7;6;6;7;11;8;9;10;9;5;9;8;12;9;12;12;9;9;5;9;6;10;13;5;5;6;8;12;5;229;11;8;4;5;7;9;6;9;8;8;10;8;8;8;4;6;7;9;11;8;7;3;5;7;5;7;8;6;6;8;13;209;11;7;7;6;6;4;6;7;6;6;6;5;9;8;9;10;12;7;8;13;8;7;8;4;6;6;7;4;4;2;241;9;5;6;6;4;7;4;2;11;8;7;11;8;9;10;7;7;9;10;10;6;11;6;7;10;8;10;7;9;7;10;253;4;10;11;11;3;9;8;6;8;11;11;11;7;5;6;8;5;4;6;6;9;11;10;9;11;13;7;12;12;9;295;7;11;6;15;12;10;9;21;8;6;6;11;10;7;10;8;8;10;7;12;13;8;7;12;7;8;12;8;11;9;6;
;;;85 or more years;6186;603;16;11;19;22;13;18;14;22;16;28;15;21;9;18;17;21;20;17;13;22;21;23;21;19;25;21;32;18;20;26;25;575;14;28;26;23;22;15;21;33;23;17;24;16;26;23;32;20;20;15;27;13;23;18;18;16;10;19;16;17;0;569;24;15;17;17;15;15;22;17;16;14;21;18;17;14;14;24;15;19;16;29;12;23;19;24;22;13;15;13;24;22;23;487;13;16;20;13;27;14;21;9;16;17;15;19;14;15;15;14;25;20;19;18;19;17;12;10;14;17;23;15;10;10;510;18;12;18;20;17;13;9;16;22;20;15;12;22;12;18;21;15;10;20;12;18;13;23;15;15;12;20;17;20;16;19;491;11;14;18;20;16;20;23;18;24;12;20;15;21;18;20;19;19;13;24;15;16;15;14;16;10;13;8;14;12;13;529;14;12;17;22;14;23;14;16;16;18;20;11;20;31;25;19;17;19;15;9;14;19;23;12;21;6;19;19;18;14;12;421;15;16;11;22;10;17;19;15;9;12;12;9;11;8;11;15;21;11;13;10;8;20;17;17;13;15;17;8;8;12;19;417;22;8;9;12;17;10;13;13;15;14;14;16;13;17;18;14;22;12;15;14;7;21;16;8;12;13;15;11;15;11;448;18;18;13;13;18;15;17;10;9;12;17;20;17;7;8;6;17;14;16;12;10;17;13;18;17;12;11;13;19;13;28;513;12;13;16;19;7;16;27;14;15;14;19;15;18;9;15;17;25;17;13;19;11;17;13;21;27;20;19;22;23;20;623;20;19;27;14;22;23;31;27;19;16;17;20;20;22;22;19;22;13;17;26;16;22;21;15;19;12;19;21;17;20;25;
;;F;0-64 years;1683;161;6;4;3;6;6;5;4;4;1;9;4;8;3;6;1;6;4;6;4;9;6;6;5;10;5;5;4;7;4;3;7;135;8;2;6;4;5;7;6;9;9;5;6;6;2;7;7;4;7;1;4;3;4;1;3;4;3;2;4;6;0;126;2;6;3;3;5;5;3;2;4;4;5;6;3;5;1;2;3;6;7;2;4;7;3;8;8;5;3;4;4;3;0;130;7;3;4;1;5;8;4;7;3;3;3;6;4;6;4;3;2;4;3;2;4;6;7;7;7;5;3;1;3;5;161;3;8;7;6;3;7;7;6;5;3;6;5;2;6;7;5;14;2;4;0;11;4;4;4;0;4;6;5;4;7;6;132;2;5;3;7;3;2;2;4;4;8;4;10;4;5;7;6;2;1;2;3;3;5;9;4;2;4;3;6;6;6;150;4;8;4;6;6;5;1;5;3;7;5;5;6;9;5;3;4;6;7;4;7;4;1;0;5;4;5;3;3;10;5;125;5;5;5;5;4;2;1;4;3;6;4;5;4;4;1;2;5;6;6;3;3;5;8;1;3;6;1;4;4;3;7;118;4;5;6;2;3;4;6;3;6;2;5;2;6;6;3;3;5;4;4;3;7;4;5;3;3;1;2;5;3;3;132;4;4;4;4;5;6;3;5;3;3;7;4;3;3;5;4;4;5;4;2;6;7;6;5;4;0;1;4;3;7;7;144;5;5;8;4;7;3;9;3;4;6;3;3;4;5;6;4;2;2;5;4;1;7;3;7;2;7;6;5;8;6;169;6;3;3;10;5;5;4;6;12;4;4;6;8;6;4;3;3;7;5;3;4;5;9;6;6;4;5;8;1;7;7;
